ФИО;Логин;Пароль;Роль_сотрудника
Федоров Глеб Михайлович;o@outlook.com;2L6KZG;3
Семенова Софья Дмитриевна;hr6zdl@yandex.ru;uzWC67;3
Васильев Егор Германович;kaft93x@outlook.com;8ntwUp;3
Смирнова Ирина Александровна;dcu@yandex.ru;YOyhfR;2
Петров Андрей Владимирович;19dn@outlook.com;RSbvHv;2
Егоров Максим Андреевич;pa5h@mail.ru;rwVDh9;2
Никитин Артур Алексеевич;281av0@gmail.com;LdNyos;1
Киселев Максим Сергеевич;8edmfh@outlook.com;gynQMT;1
Борисов Тимур Егорович;sfn13i@mail.ru;AtnDjr;1
Климов Арсений Тимурович;g0orc3x1@outlook.com;JlFRCZ;1
Никулин Антон Фёдорович;ab@mail.ru;JWILAMAw;1
Копылова Софья Николаевна;dd@gmail.com;1iJnwoqkvwA;1
Петров Ибрагим Романович;wgh@gmail.com;25AOGEQVSa;1
Овсянников Никита Сергеевич;kwfeww@outlook.com;Qwertyyy;1
